taxonomy,imt,iml_unit,noDamageLimit,iml,Slight,Moderate,Extreme,Complete
S1H,PGA,g,0.01,0.1,0.5,0.12317,0.0049971,0.000029135
S1H,PGA,g,0.01,0.15,0.73681,0.29954,0.026039,0.00035438
S1H,PGA,g,0.01,0.2,0.86061,0.46962,0.06772,0.0016588
S1H,PGA,g,0.01,0.25,0.92389,0.60735,0.12624,0.0048267
S1H,PGA,g,0.01,0.3,0.95697,0.71134,0.19505,0.010636
S1H,PGA,g,0.01,0.35,0.97485,0.78761,0.26809,0.019591
S1H,PGA,g,0.01,0.4,0.98485,0.84299,0.34092,0.031897
S1H,PGA,g,0.01,0.45,0.99062,0.88314,0.41064,0.047501
S1H,PGA,g,0.01,0.5,0.99404,0.91237,0.47557,0.066167
S1H,PGA,g,0.01,0.55,0.99614,0.93376,0.53492,0.087544
S1H,PGA,g,0.01,0.6,0.99744,0.94953,0.58846,0.11122
S1H,PGA,g,0.01,0.65,0.99828,0.96125,0.63633,0.13675
S1H,PGA,g,0.01,0.7,0.99882,0.97003,0.67884,0.16374
S1H,PGA,g,0.01,0.75,0.99918,0.97665,0.71643,0.19176
S1H,PGA,g,0.01,0.8,0.99942,0.98168,0.74956,0.22048
S1H,PGA,g,0.01,0.85,0.99959,0.98554,0.7787,0.24957
S1H,PGA,g,0.01,0.9,0.9997,0.98851,0.80431,0.27876
S1H,PGA,g,0.01,0.95,0.99978,0.99082,0.8268,0.30781
S1H,PGA,g,0.01,1,0.99984,0.99263,0.84655,0.33654
S2L,PGA,g,0.01,0.01,3.4225E-07,3.2675E-09,6.5844E-12,3.4341E-15
S2L,PGA,g,0.01,0.05,0.0071237,0.00050503,0.000010592,6.7422E-08
S2L,PGA,g,0.01,0.1,0.085669,0.013739,0.00076487,0.000014003
S2L,PGA,g,0.01,0.15,0.23136,0.058076,0.0056153,0.00018859
S2L,PGA,g,0.01,0.2,0.38787,0.13101,0.018492,0.00094801
S2L,PGA,g,0.01,0.25,0.52543,0.21977,0.041169,0.0029132
S2L,PGA,g,0.01,0.3,0.63633,0.31274,0.073195,0.0067083
S2L,PGA,g,0.01,0.35,0.72224,0.40237,0.11284,0.012819
S2L,PGA,g,0.01,0.4,0.78761,0.48461,0.15796,0.021536
S2L,PGA,g,0.01,0.45,0.837,0.55782,0.20643,0.032959
S2L,PGA,g,0.01,0.5,0.87427,0.62175,0.25648,0.047031
S2L,PGA,g,0.01,0.55,0.90247,0.67688,0.30667,0.063576
S2L,PGA,g,0.01,0.6,0.92389,0.72406,0.35593,0.082345
S2L,PGA,g,0.01,0.65,0.94024,0.76424,0.4035,0.10304
S2L,PGA,g,0.01,0.7,0.95279,0.79837,0.44888,0.12536
S2L,PGA,g,0.01,0.75,0.96249,0.82732,0.49174,0.14898
S2L,PGA,g,0.01,0.8,0.97003,0.85186,0.53194,0.17362
S2L,PGA,g,0.01,0.85,0.97592,0.87269,0.56941,0.19899
S2L,PGA,g,0.01,0.9,0.98055,0.89037,0.60418,0.22484
S2L,PGA,g,0.01,0.95,0.98421,0.9054,0.63633,0.25097
S2L,PGA,g,0.01,1,0.98712,0.91821,0.66597,0.27716
S2M,PGA,g,0.01,0.01,0.000018656,1.3042E-07,1.015E-11,9.3732E-16
S2M,PGA,g,0.01,0.05,0.053832,0.0042069,0.000014003,2.7456E-08
S2M,PGA,g,0.01,0.1,0.29954,0.060336,0.00094801,0.000006758
S2M,PGA,g,0.01,0.15,0.54292,0.1792,0.0067083,0.00010039
S2M,PGA,g,0.01,0.2,0.71134,0.31957,0.021536,0.00054052
S2M,PGA,g,0.01,0.25,0.81752,0.45214,0.047031,0.0017509
S2M,PGA,g,0.01,0.3,0.88314,0.56538,0.082345,0.0042069
S2M,PGA,g,0.01,0.35,0.92389,0.65744,0.12536,0.0083297
S2M,PGA,g,0.01,0.4,0.94953,0.73043,0.17362,0.014426
S2M,PGA,g,0.01,0.45,0.96595,0.78761,0.22484,0.022671
S2M,PGA,g,0.01,0.5,0.97665,0.83217,0.27716,0.033117
S2M,PGA,g,0.01,0.55,0.98374,0.86687,0.32911,0.045714
S2M,PGA,g,0.01,0.6,0.98851,0.89392,0.37964,0.060336
S2M,PGA,g,0.01,0.65,0.99178,0.91508,0.42804,0.076806
S2M,PGA,g,0.01,0.7,0.99404,0.93169,0.47386,0.094913
S2M,PGA,g,0.01,0.75,0.99564,0.94479,0.51684,0.11443
S2M,PGA,g,0.01,0.8,0.99677,0.95517,0.55688,0.13513
S2M,PGA,g,0.01,0.85,0.99758,0.96343,0.59398,0.15679
S2M,PGA,g,0.01,0.9,0.99818,0.97003,0.62821,0.1792
S2M,PGA,g,0.01,0.95,0.99861,0.97533,0.65968,0.20216
S2M,PGA,g,0.01,1,0.99894,0.97961,0.68855,0.22549
S2H,PGA,g,0.01,0.01,0.000089584,6.8351E-07,3.4577E-11,1.0961E-15
S2H,PGA,g,0.01,0.05,0.10898,0.010306,0.000030652,3.0608E-08
S2H,PGA,g,0.01,0.1,0.44081,0.10898,0.001724,7.3823E-06
S2H,PGA,g,0.01,0.15,0.68603,0.27478,0.010977,0.00010838
S2H,PGA,g,0.01,0.2,0.82488,0.44081,0.032763,0.0005788
S2H,PGA,g,0.01,0.25,0.90022,0.57916,0.06772,0.001863
S2H,PGA,g,0.01,0.3,0.94152,0.68603,0.1135,0.0044537
S2H,PGA,g,0.01,0.35,0.96474,0.76592,0.16671,0.0087809
S2H,PGA,g,0.01,0.4,0.97816,0.82488,0.22404,0.015152
S2H,PGA,g,0.01,0.45,0.98614,0.86825,0.28279,0.023737
S2H,PGA,g,0.01,0.5,0.99101,0.90022,0.34092,0.034576
S2H,PGA,g,0.01,0.55,0.99404,0.92389,0.39704,0.047608
S2H,PGA,g,0.01,0.6,0.99598,0.94152,0.45024,0.062694
S2H,PGA,g,0.01,0.65,0.99725,0.95475,0.5,0.079643
S2H,PGA,g,0.01,0.7,0.99808,0.96474,0.54609,0.098233
S2H,PGA,g,0.01,0.75,0.99865,0.97234,0.58846,0.11823
S2H,PGA,g,0.01,0.8,0.99903,0.97816,0.6272,0.13939
S2H,PGA,g,0.01,0.85,0.9993,0.98265,0.66245,0.1615
S2H,PGA,g,0.01,0.9,0.99949,0.98614,0.69444,0.18432
S2H,PGA,g,0.01,0.95,0.99962,0.98886,0.72339,0.20767
S2H,PGA,g,0.01,1,0.99972,0.99101,0.74956,0.23136
S3,PGA,g,0.01,0.01,0.000011616,1.783E-07,2.291E-10,3.1098E-13
S3,PGA,g,0.01,0.05,0.043028,0.0049971,0.00010039,1.4286E-06
S3,PGA,g,0.01,0.1,0.26319,0.06772,0.0042069,0.00016047
S3,PGA,g,0.01,0.15,0.5,0.19505,0.022671,0.0015171
S3,PGA,g,0.01,0.2,0.67347,0.34092,0.060336,0.0059559
S3,PGA,g,0.01,0.25,0.78761,0.47557,0.11443,0.015152
S3,PGA,g,0.01,0.3,0.86061,0.58846,0.1792,0.029972
S3,PGA,g,0.01,0.35,0.90723,0.67884,0.24903,0.050467
S3,PGA,g,0.01,0.4,0.93731,0.74956,0.31957,0.076114
S3,PGA,g,0.01,0.45,0.95697,0.80431,0.38787,0.10608
S3,PGA,g,0.01,0.5,0.97003,0.84655,0.45214,0.13939
S3,PGA,g,0.01,0.55,0.97883,0.87914,0.51144,0.17512
S3,PGA,g,0.01,0.6,0.98485,0.90433,0.56538,0.21239
S3,PGA,g,0.01,0.65,0.98902,0.92389,0.61397,0.25044
S3,PGA,g,0.01,0.7,0.99196,0.93913,0.65744,0.28866
S3,PGA,g,0.01,0.75,0.99404,0.95107,0.69612,0.32653
S3,PGA,g,0.01,0.8,0.99555,0.96047,0.73043,0.36367
S3,PGA,g,0.01,0.85,0.99664,0.96791,0.76079,0.39977
S3,PGA,g,0.01,0.9,0.99744,0.97382,0.78761,0.43462
S3,PGA,g,0.01,0.95,0.99804,0.97855,0.81129,0.46806
S3,PGA,g,0.01,1,0.99848,0.98235,0.83217,0.5
S4L,PGA,g,0.01,0.01,3.4225E-07,5.1926E-09,1.3651E-11,1.0763E-14
S4L,PGA,g,0.01,0.05,0.0071237,0.00066467,0.00001694,1.4765E-07
S4L,PGA,g,0.01,0.1,0.085669,0.01673,0.0010969,0.000026343
S4L,PGA,g,0.01,0.15,0.23136,0.06772,0.007568,0.000325
S4L,PGA,g,0.01,0.2,0.38787,0.14836,0.023874,0.0015365
S4L,PGA,g,0.01,0.25,0.52543,0.24358,0.051451,0.004505
S4L,PGA,g,0.01,0.3,0.63633,0.34092,0.089141,0.009988
S4L,PGA,g,0.01,0.35,0.72224,0.43287,0.13454,0.018492
S4L,PGA,g,0.01,0.4,0.78761,0.51578,0.18498,0.030239
S4L,PGA,g,0.01,0.45,0.837,0.58846,0.23807,0.045203
S4L,PGA,g,0.01,0.5,0.87427,0.65107,0.29188,0.063178
S4L,PGA,g,0.01,0.55,0.90247,0.70442,0.34495,0.083838
S4L,PGA,g,0.01,0.6,0.92389,0.74956,0.39627,0.10679
S4L,PGA,g,0.01,0.65,0.94024,0.78761,0.44514,0.13164
S4L,PGA,g,0.01,0.7,0.95279,0.81963,0.49116,0.15796
S4L,PGA,g,0.01,0.75,0.96249,0.84655,0.53412,0.18537
S4L,PGA,g,0.01,0.8,0.97003,0.8692,0.57397,0.21352
S4L,PGA,g,0.01,0.85,0.97592,0.88826,0.61072,0.24211
S4L,PGA,g,0.01,0.9,0.98055,0.90433,0.6445,0.27086
S4L,PGA,g,0.01,0.95,0.98421,0.91791,0.67544,0.29954
S4L,PGA,g,0.01,1,0.98712,0.92939,0.70372,0.32795
S4M,PGA,g,0.01,0.01,7.3823E-06,9.6182E-08,1.015E-11,1.5061E-15
S4M,PGA,g,0.01,0.05,0.034576,0.0035531,0.000014003,3.8153E-08
S4M,PGA,g,0.01,0.1,0.23136,0.053832,0.00094801,8.8292E-06
S4M,PGA,g,0.01,0.15,0.45984,0.16472,0.0067083,0.00012657
S4M,PGA,g,0.01,0.2,0.63633,0.29954,0.021536,0.00066467
S4M,PGA,g,0.01,0.25,0.7572,0.42972,0.047031,0.0021122
S4M,PGA,g,0.01,0.3,0.837,0.54292,0.082345,0.0049971
S4M,PGA,g,0.01,0.35,0.88935,0.63633,0.12536,0.0097673
S4M,PGA,g,0.01,0.4,0.92389,0.71134,0.17362,0.01673
S4M,PGA,g,0.01,0.45,0.94692,0.77076,0.22484,0.026039
S4M,PGA,g,0.01,0.5,0.96249,0.81752,0.27716,0.037713
S4M,PGA,g,0.01,0.55,0.97315,0.85426,0.32911,0.051663
S4M,PGA,g,0.01,0.6,0.98055,0.88314,0.37964,0.06772
S4M,PGA,g,0.01,0.65,0.98575,0.9059,0.42804,0.085669
S4M,PGA,g,0.01,0.7,0.98945,0.92389,0.47386,0.10526
S4M,PGA,g,0.01,0.75,0.99211,0.93816,0.51684,0.12624
S4M,PGA,g,0.01,0.8,0.99404,0.94953,0.55688,0.14836
S4M,PGA,g,0.01,0.85,0.99547,0.95864,0.59398,0.17137
S4M,PGA,g,0.01,0.9,0.99652,0.96595,0.62821,0.19505
S4M,PGA,g,0.01,0.95,0.99731,0.97186,0.65968,0.21918
S4M,PGA,g,0.01,1,0.9979,0.97665,0.68855,0.24358
S4H,PGA,g,0.01,0.01,0.000030652,2.4589E-07,1.8478E-11,8.6728E-16
S4H,PGA,g,0.01,0.05,0.06772,0.0059559,0.000020564,2.6014E-08
S4H,PGA,g,0.01,0.1,0.34092,0.076114,0.0012722,6.4677E-06
S4H,PGA,g,0.01,0.15,0.58846,0.21239,0.008552,0.000096634
S4H,PGA,g,0.01,0.2,0.74956,0.36367,0.026498,0.00052244
S4H,PGA,g,0.01,0.25,0.84655,0.5,0.056336,0.0016976
S4H,PGA,g,0.01,0.3,0.90433,0.61213,0.096557,0.0040892
S4H,PGA,g,0.01,0.35,0.93913,0.70046,0.14444,0.0081139
S4H,PGA,g,0.01,0.4,0.96047,0.76864,0.19713,0.014078
S4H,PGA,g,0.01,0.45,0.97382,0.8208,0.2521,0.022159
S4H,PGA,g,0.01,0.5,0.98235,0.86061,0.30739,0.032414
S4H,PGA,g,0.01,0.55,0.98789,0.89102,0.36154,0.044799
S4H,PGA,g,0.01,0.6,0.99157,0.91433,0.41357,0.059195
S4H,PGA,g,0.01,0.65,0.99404,0.93228,0.46283,0.075429
S4H,PGA,g,0.01,0.7,0.99574,0.94617,0.50897,0.093299
S4H,PGA,g,0.01,0.75,0.99691,0.95697,0.55183,0.11258
S4H,PGA,g,0.01,0.8,0.99774,0.96542,0.59139,0.13305
S4H,PGA,g,0.01,0.85,0.99833,0.97207,0.62773,0.1545
S4H,PGA,g,0.01,0.9,0.99875,0.97733,0.66099,0.1767
S4H,PGA,g,0.01,0.95,0.99906,0.98151,0.69134,0.19946
S4H,PGA,g,0.01,1,0.99928,0.98485,0.71897,0.22261
C1L,PGA,g,0.01,0.01,9.8213E-07,1.3862E-08,1.5869E-11,7.5036E-15
C1L,PGA,g,0.01,0.05,0.01247,0.001181,0.000018656,1.1535E-07
C1L,PGA,g,0.01,0.1,0.12317,0.025148,0.001181,0.000021598
C1L,PGA,g,0.01,0.15,0.29954,0.092768,0.0080433,0.00027398
C1L,PGA,g,0.01,0.2,0.46962,0.19095,0.025148,0.0013208
C1L,PGA,g,0.01,0.25,0.60735,0.29954,0.053832,0.0039306
C1L,PGA,g,0.01,0.3,0.71134,0.40483,0.092768,0.0088198
C1L,PGA,g,0.01,0.35,0.78761,0.5,0.13939,0.016494
C1L,PGA,g,0.01,0.4,0.84299,0.58264,0.19095,0.027203
C1L,PGA,g,0.01,0.45,0.88314,0.65272,0.24498,0.040968
C1L,PGA,g,0.01,0.5,0.91237,0.71134,0.29954,0.057636
C1L,PGA,g,0.01,0.55,0.93376,0.75998,0.35316,0.076932
C1L,PGA,g,0.01,0.6,0.94953,0.80016,0.40483,0.098515
C1L,PGA,g,0.01,0.65,0.96125,0.83329,0.45391,0.12201
C1L,PGA,g,0.01,0.7,0.97003,0.86061,0.5,0.14704
C1L,PGA,g,0.01,0.75,0.97665,0.88314,0.54292,0.17325
C1L,PGA,g,0.01,0.8,0.98168,0.90177,0.58264,0.2003
C1L,PGA,g,0.01,0.85,0.98554,0.91719,0.6192,0.22789
C1L,PGA,g,0.01,0.9,0.98851,0.92999,0.65272,0.25575
C1L,PGA,g,0.01,0.95,0.99082,0.94064,0.68338,0.28365
C1L,PGA,g,0.01,1,0.99263,0.94953,0.71134,0.3114
C1M,PGA,g,0.01,0.01,0.000011616,1.3042E-07,1.015E-11,1.0134E-15
C1M,PGA,g,0.01,0.05,0.043028,0.0042069,0.000014003,2.8986E-08
C1M,PGA,g,0.01,0.1,0.26319,0.060336,0.00094801,7.0626E-06
C1M,PGA,g,0.01,0.15,0.5,0.1792,0.0067083,0.0001043
C1M,PGA,g,0.01,0.2,0.67347,0.31957,0.021536,0.0005593
C1M,PGA,g,0.01,0.25,0.78761,0.45214,0.047031,0.001806
C1M,PGA,g,0.01,0.3,0.86061,0.56538,0.082345,0.0043283
C1M,PGA,g,0.01,0.35,0.90723,0.65744,0.12536,0.008552
C1M,PGA,g,0.01,0.4,0.93731,0.73043,0.17362,0.014784
C1M,PGA,g,0.01,0.45,0.95697,0.78761,0.22484,0.023197
C1M,PGA,g,0.01,0.5,0.97003,0.83217,0.27716,0.033838
C1M,PGA,g,0.01,0.55,0.97883,0.86687,0.32911,0.04665
C1M,PGA,g,0.01,0.6,0.98485,0.89392,0.37964,0.061503
C1M,PGA,g,0.01,0.65,0.98902,0.91508,0.42804,0.07821
C1M,PGA,g,0.01,0.7,0.99196,0.93169,0.47386,0.096557
C1M,PGA,g,0.01,0.75,0.99404,0.94479,0.51684,0.11631
C1M,PGA,g,0.01,0.8,0.99555,0.95517,0.55688,0.13725
C1M,PGA,g,0.01,0.85,0.99664,0.96343,0.59398,0.15913
C1M,PGA,g,0.01,0.9,0.99744,0.97003,0.62821,0.18174
C1M,PGA,g,0.01,0.95,0.99804,0.97533,0.65968,0.2049
C1M,PGA,g,0.01,1,0.99848,0.97961,0.68855,0.2284
C1H,PGA,g,0.01,0.01,0.000089584,6.8351E-07,5.6426E-11,8.977E-15
C1H,PGA,g,0.01,0.05,0.10898,0.010306,0.000041789,1.3042E-07
C1H,PGA,g,0.01,0.1,0.44081,0.10898,0.0021801,0.000023842
C1H,PGA,g,0.01,0.15,0.68603,0.27478,0.013301,0.00029829
C1H,PGA,g,0.01,0.2,0.82488,0.44081,0.038546,0.0014241
C1H,PGA,g,0.01,0.25,0.90022,0.57916,0.077927,0.0042069
C1H,PGA,g,0.01,0.3,0.94152,0.68603,0.12834,0.0093837
C1H,PGA,g,0.01,0.35,0.96474,0.76592,0.18582,0.017461
C1H,PGA,g,0.01,0.4,0.97816,0.82488,0.24674,0.028676
C1H,PGA,g,0.01,0.45,0.98614,0.86825,0.30828,0.043028
C1H,PGA,g,0.01,0.5,0.99101,0.90022,0.36839,0.060336
C1H,PGA,g,0.01,0.55,0.99404,0.92389,0.42576,0.080303
C1H,PGA,g,0.01,0.6,0.99598,0.94152,0.47957,0.10256
C1H,PGA,g,0.01,0.65,0.99725,0.95475,0.52943,0.12672
C1H,PGA,g,0.01,0.7,0.99808,0.96474,0.5752,0.15239
C1H,PGA,g,0.01,0.75,0.99865,0.97234,0.61693,0.1792
C1H,PGA,g,0.01,0.8,0.99903,0.97816,0.65478,0.2068
C1H,PGA,g,0.01,0.85,0.9993,0.98265,0.68899,0.23489
C1H,PGA,g,0.01,0.9,0.99949,0.98614,0.71982,0.26319
C1H,PGA,g,0.01,0.95,0.99962,0.98886,0.74755,0.29148
C1H,PGA,g,0.01,1,0.99972,0.99101,0.77245,0.31957
C2L,PGA,g,0.01,0.01,3.4225E-07,1.3579E-09,1.0256E-12,1.6323E-15
C2L,PGA,g,0.01,0.05,0.0071237,0.00029829,3.1479E-06,4.0339E-08
C2L,PGA,g,0.01,0.1,0.085669,0.0093837,0.00029829,9.2377E-06
C2L,PGA,g,0.01,0.15,0.23136,0.043028,0.0025581,0.00013162
C2L,PGA,g,0.01,0.2,0.38787,0.10256,0.0093837,0.00068828
C2L,PGA,g,0.01,0.25,0.52543,0.1792,0.022671,0.0021801
C2L,PGA,g,0.01,0.3,0.63633,0.26319,0.043028,0.0051442
C2L,PGA,g,0.01,0.35,0.72224,0.34728,0.070009,0.010033
C2L,PGA,g,0.01,0.4,0.78761,0.42699,0.10256,0.017152
C2L,PGA,g,0.01,0.45,0.837,0.5,0.13939,0.026653
C2L,PGA,g,0.01,0.5,0.87427,0.56538,0.1792,0.038546
C2L,PGA,g,0.01,0.55,0.90247,0.62307,0.2208,0.052735
C2L,PGA,g,0.01,0.6,0.92389,0.67347,0.26319,0.069045
C2L,PGA,g,0.01,0.65,0.94024,0.71721,0.30556,0.087252
C2L,PGA,g,0.01,0.7,0.95279,0.75502,0.34728,0.1071
C2L,PGA,g,0.01,0.75,0.96249,0.78761,0.38787,0.12834
C2L,PGA,g,0.01,0.8,0.97003,0.81568,0.42699,0.1507
C2L,PGA,g,0.01,0.85,0.97592,0.83982,0.46442,0.17394
C2L,PGA,g,0.01,0.9,0.98055,0.86061,0.5,0.19783
C2L,PGA,g,0.01,0.95,0.98421,0.8785,0.53366,0.22216
C2L,PGA,g,0.01,1,0.98712,0.89392,0.56538,0.24674
C2M,PGA,g,0.01,0.01,4.7799E-06,1.0764E-08,1.4973E-12,8.6783E-17
C2M,PGA,g,0.01,0.05,0.027929,0.0010195,4.0366E-06,5.1926E-09
C2M,PGA,g,0.01,0.1,0.20352,0.022671,0.00036218,1.7313E-06
C2M,PGA,g,0.01,0.15,0.42247,0.085669,0.0030103,0.000030652
C2M,PGA,g,0.01,0.2,0.60023,0.1792,0.010805,0.00018668
C2M,PGA,g,0.01,0.25,0.72661,0.28442,0.025678,0.00066467
C2M,PGA,g,0.01,0.3,0.81259,0.38787,0.048095,0.001724
C2M,PGA,g,0.01,0.35,0.87041,0.48245,0.077404,0.0036392
C2M,PGA,g,0.01,0.4,0.90939,0.56538,0.11235,0.0066583
C2M,PGA,g,0.01,0.45,0.93587,0.63633,0.15149,0.010977
C2M,PGA,g,0.01,0.5,0.95407,0.69612,0.1934,0.01673
C2M,PGA,g,0.01,0.55,0.96671,0.74608,0.23683,0.023987
C2M,PGA,g,0.01,0.6,0.97561,0.78761,0.28077,0.032763
C2M,PGA,g,0.01,0.65,0.98194,0.82206,0.32437,0.043028
C2M,PGA,g,0.01,0.7,0.9865,0.8506,0.36704,0.054712
C2M,PGA,g,0.01,0.75,0.98981,0.87427,0.40831,0.06772
C2M,PGA,g,0.01,0.8,0.99224,0.89392,0.44786,0.081939
C2M,PGA,g,0.01,0.85,0.99404,0.91027,0.48551,0.097243
C2M,PGA,g,0.01,0.9,0.99539,0.92389,0.52112,0.1135
C2M,PGA,g,0.01,0.95,0.99641,0.93526,0.55466,0.13059
C2M,PGA,g,0.01,1,0.99719,0.94479,0.58613,0.14836
C2H,PGA,g,0.01,0.01,0.000051659,7.1481E-08,2.8793E-12,1.4965E-16
