asset_ref,no_damage,slight,moderate,extreme,complete
a1094,1.813859323E+02,2.628045773E+00,1.526673391E+00,3.560925306E-01,1.032560298E-01
a1095,1.828364382E+02,1.811776529E+00,1.042828778E+00,2.401831203E-01,6.877340041E-02
a1096,1.831874720E+02,2.175667199E+00,1.259442852E+00,2.926531955E-01,8.476478214E-02
a1097,1.821440015E+02,2.796186748E+00,1.601850023E+00,3.613404132E-01,9.662133309E-02
a1098,1.847027368E+02,1.893523897E+00,1.086921675E+00,2.481530217E-01,6.866463178E-02
a1099,1.822379725E+02,3.298896114E+00,1.905967650E+00,4.365798100E-01,1.205839757E-01
a11,9.789174055E-01,1.169313801E-02,7.002040486E-03,1.762409386E-03,6.250065933E-04
a110,2.902757927E+00,5.657567373E-02,3.206396707E-02,6.975083445E-03,1.627349055E-03
a1100,1.857408852E+02,1.293669515E+00,7.441691606E-01,1.718206383E-01,4.945552049E-02
a1101,1.862471952E+02,1.573086010E+00,9.075002801E-01,2.106084449E-01,6.161006379E-02
a1102,1.863471034E+02,1.513491438E+00,8.748154828E-01,2.040852405E-01,6.050440308E-02
a1103,1.856613575E+02,1.914634677E+00,1.101576161E+00,2.525186435E-01,6.991297107E-02
a1104,1.865062204E+02,1.423667940E+00,8.222078671E-01,1.914944820E-01,5.640930714E-02
a1105,1.866047696E+02,1.949372321E+00,1.119673722E+00,2.557271618E-01,7.045723945E-02
a1106,1.870177927E+02,1.697171884E+00,9.842683812E-01,2.311291143E-01,6.963788981E-02
a1107,1.867676328E+02,1.856099782E+00,1.065533395E+00,2.433991543E-01,6.733488246E-02
a1108,1.858896792E+02,2.275656501E+00,1.362934160E+00,3.448198651E-01,1.269102953E-01
a1109,1.868832211E+02,2.362195030E+00,1.357880646E+00,3.102482102E-01,8.645505860E-02
a111,2.954751255E+00,2.576402980E-02,1.494172693E-02,3.503473856E-03,1.039514887E-03
a1110,1.883555974E+02,1.509171147E+00,8.718754435E-01,2.031951701E-01,6.016085867E-02
a1111,1.881417723E+02,1.631899433E+00,9.422099346E-01,2.192182209E-01,6.490009457E-02
a1112,1.880696063E+02,1.674003701E+00,9.661713783E-01,2.243897379E-01,6.582886065E-02
a1113,1.882170256E+02,2.144487274E+00,1.252879411E+00,2.968989025E-01,8.870885192E-02
a1114,1.896964768E+02,1.311055789E+00,7.599838693E-01,1.786747357E-01,5.380880910E-02
a1115,1.881112772E+02,2.222127630E+00,1.284684556E+00,2.973181683E-01,8.459246400E-02
a1116,1.901212944E+02,1.640513375E+00,9.487269197E-01,2.219837093E-01,6.748162393E-02
a1117,1.896475550E+02,1.915034902E+00,1.105979704E+00,2.566297333E-01,7.480068265E-02
a1118,1.904462650E+02,2.045297460E+00,1.171452665E+00,2.655086303E-01,7.147621446E-02
a1119,1.890718054E+02,2.799869997E+00,1.632023940E+00,3.833849491E-01,1.129157400E-01
a112,2.940109693E+00,3.316696467E-02,1.988411086E-02,5.028243976E-03,1.810987674E-03
a1120,1.910922164E+02,1.664305148E+00,9.588697335E-01,2.214067165E-01,6.320202871E-02
a1121,1.917649930E+02,1.852707590E+00,1.066200365E+00,2.456224255E-01,7.047665991E-02
a1122,1.892184543E+02,3.313691825E+00,1.910556224E+00,4.364553930E-01,1.208422375E-01
a1123,1.917171852E+02,1.881302096E+00,1.083481867E+00,2.489377491E-01,6.909309778E-02
a1124,1.911557315E+02,2.200884132E+00,1.269436626E+00,2.922005405E-01,8.174723087E-02
a1125,1.936845659E+02,1.901254896E+00,1.093259511E+00,2.507829467E-01,7.013674322E-02
a1126,1.939334270E+02,1.754398485E+00,1.011735843E+00,2.338487301E-01,6.658998321E-02
a1127,1.934175660E+02,1.983476204E+00,1.189662235E+00,3.012504583E-01,1.080451327E-01
a1128,1.942104926E+02,2.163933557E+00,1.252162806E+00,2.905158656E-01,8.289514913E-02
a1129,1.941102539E+02,2.186025566E+00,1.288986796E+00,3.131815410E-01,1.015522192E-01
a113,2.951310055E+00,2.777359510E-02,1.607277995E-02,3.746999189E-03,1.096570817E-03
a1130,1.941070563E+02,2.232261189E+00,1.284229629E+00,2.942844716E-01,8.216837408E-02
a1131,1.960915730E+02,1.659056949E+00,9.583576069E-01,2.236120995E-01,6.740032302E-02
a1132,1.956615308E+02,1.913359678E+00,1.100243537E+00,2.528605049E-01,7.200550210E-02
a1133,1.964098020E+02,2.064173247E+00,1.184114459E+00,2.693014961E-01,7.260884287E-02
a1134,1.946842673E+02,3.017908206E+00,1.759297005E+00,4.140123938E-01,1.245150825E-01
a1135,1.964508559E+02,2.036520616E+00,1.170490140E+00,2.678575916E-01,7.427576527E-02
a1136,1.968649474E+02,1.782775293E+00,1.036227215E+00,2.437306622E-01,7.231941009E-02
a1137,1.949151803E+02,2.928503949E+00,1.677147060E+00,3.782122018E-01,1.009564702E-01
a1138,1.953917055E+02,2.608546703E+00,1.525992728E+00,3.626938540E-01,1.110612117E-01
a1139,1.944217727E+02,3.796532089E+00,2.172233770E+00,4.849341745E-01,1.245273021E-01
a114,2.938566180E+00,3.509496238E-02,2.029346980E-02,4.701374151E-03,1.344013373E-03
a1140,1.982720843E+02,1.553219257E+00,8.998027152E-01,2.111802620E-01,6.371341812E-02
a1141,1.991187677E+02,1.645419834E+00,9.499486817E-01,2.209122048E-01,6.495158521E-02
a1142,1.989391922E+02,1.755950860E+00,1.009755274E+00,2.314483961E-01,6.365325518E-02
a1143,1.991393771E+02,1.632084047E+00,9.430834654E-01,2.199765522E-01,6.547884149E-02
