rupture_tag,aggregate_loss,insured_loss
col=00~ses=0002~src=235-469~rup=001-01,2.7812547E+08,0.0000000E+00
col=00~ses=0002~src=235-46~rup=002-01,1.1108376E+08,0.0000000E+00
col=00~ses=0002~src=235-47~rup=002-01,1.6521493E+08,0.0000000E+00
col=00~ses=0002~src=235-64~rup=001-01,1.5650016E+08,0.0000000E+00
col=00~ses=0002~src=238-108~rup=001-01,7.9167360E+06,0.0000000E+00
col=00~ses=0002~src=238-110~rup=001-01,4.1710960E+06,0.0000000E+00
col=00~ses=0002~src=238-112~rup=001-01,6.2283665E+06,0.0000000E+00
col=00~ses=0002~src=238-112~rup=001-02,6.4039940E+06,0.0000000E+00
col=00~ses=0002~src=238-115~rup=001-01,9.7709890E+06,0.0000000E+00
col=00~ses=0002~src=238-116~rup=001-01,4.3385370E+06,0.0000000E+00
col=00~ses=0002~src=238-121~rup=001-01,5.2332790E+06,0.0000000E+00
col=00~ses=0002~src=238-129~rup=002-01,1.2695631E+07,0.0000000E+00
col=00~ses=0002~src=238-146~rup=002-01,1.5518879E+07,0.0000000E+00
col=00~ses=0002~src=238-147~rup=004-01,3.7415940E+07,0.0000000E+00
col=00~ses=0002~src=238-155~rup=002-01,2.1435138E+07,0.0000000E+00
col=00~ses=0002~src=238-161~rup=001-01,2.2234116E+07,0.0000000E+00
col=00~ses=0002~src=238-176~rup=001-01,3.1983070E+07,0.0000000E+00
col=00~ses=0002~src=238-180~rup=001-01,2.6268994E+07,0.0000000E+00
col=00~ses=0002~src=238-186~rup=002-01,1.0414246E+08,0.0000000E+00
col=00~ses=0002~src=238-25~rup=001-01,9.7658362E+05,0.0000000E+00
col=00~ses=0002~src=238-2~rup=001-01,1.0438340E+04,0.0000000E+00
col=00~ses=0002~src=238-39~rup=001-01,8.0893944E+05,0.0000000E+00
col=00~ses=0002~src=238-40~rup=001-01,8.6961106E+05,0.0000000E+00
col=00~ses=0002~src=238-41~rup=001-01,1.9867028E+05,0.0000000E+00
col=00~ses=0002~src=238-42~rup=001-01,3.8787700E+05,0.0000000E+00
col=00~ses=0002~src=238-51~rup=003-01,6.4183415E+06,0.0000000E+00
col=00~ses=0002~src=238-53~rup=002-01,2.8884622E+06,0.0000000E+00
col=00~ses=0002~src=238-54~rup=001-01,3.3523009E+05,0.0000000E+00
col=00~ses=0002~src=238-57~rup=001-01,9.0827894E+05,0.0000000E+00
col=00~ses=0002~src=238-61~rup=001-01,1.8707160E+06,0.0000000E+00
col=00~ses=0002~src=238-68~rup=001-01,3.7679528E+06,0.0000000E+00
col=00~ses=0002~src=238-71~rup=001-01,1.9003334E+06,0.0000000E+00
col=00~ses=0002~src=238-72~rup=002-01,2.0998962E+06,0.0000000E+00
col=00~ses=0002~src=238-73~rup=002-01,3.5716565E+06,0.0000000E+00
col=00~ses=0002~src=238-74~rup=001-01,1.8078475E+06,0.0000000E+00
col=00~ses=0002~src=238-78~rup=003-01,1.4126434E+07,0.0000000E+00
col=00~ses=0002~src=238-82~rup=002-01,4.4252020E+06,0.0000000E+00
col=00~ses=0002~src=238-88~rup=001-01,1.6766796E+06,0.0000000E+00
col=00~ses=0002~src=238-88~rup=002-01,5.7037480E+06,0.0000000E+00
col=00~ses=0002~src=238-8~rup=002-01,1.3083771E+05,0.0000000E+00
col=00~ses=0002~src=238-95~rup=001-01,5.5515400E+06,0.0000000E+00
col=00~ses=0002~src=238-95~rup=002-01,2.0723242E+07,0.0000000E+00
col=00~ses=0002~src=239-103~rup=004-01,1.2423893E+07,0.0000000E+00
col=00~ses=0002~src=239-58~rup=001-01,4.6377178E+05,0.0000000E+00
col=00~ses=0002~src=239-81~rup=001-01,1.1120688E+06,0.0000000E+00
col=00~ses=0002~src=239-85~rup=002-01,2.1614458E+06,0.0000000E+00
col=00~ses=0002~src=240-110~rup=001-01,1.6477180E+06,0.0000000E+00
col=00~ses=0002~src=240-35~rup=002-01,4.6705916E+05,0.0000000E+00
col=00~ses=0002~src=240-49~rup=001-01,3.6985828E+05,0.0000000E+00
col=00~ses=0002~src=240-50~rup=001-01,2.8732669E+05,0.0000000E+00
col=00~ses=0002~src=240-52~rup=003-01,3.6346722E+05,0.0000000E+00
col=00~ses=0002~src=240-80~rup=002-01,8.0125006E+05,0.0000000E+00
col=00~ses=0002~src=240-89~rup=001-01,2.1819938E+06,0.0000000E+00
col=00~ses=0002~src=240-94~rup=003-01,8.5421490E+06,0.0000000E+00
col=00~ses=0002~src=243-208~rup=004-01,2.3626909E+05,0.0000000E+00
