Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0006|src=230-254|rup=001-01,5.2500000,196807474.3070000
smlt=00|ses=0007|src=229-24|rup=001-02,5.2500000,196192074.7580000
smlt=00|ses=0008|src=231-5|rup=001-01,5.2500000,195323328.7110000
smlt=00|ses=0010|src=231-100|rup=001-01,5.2500000,193285818.0980000
smlt=00|ses=0004|src=231-8|rup=003-01,6.2500000,192489841.0440000
smlt=00|ses=0004|src=229-24|rup=001-01,5.2500000,191149791.8300000
smlt=00|ses=0008|src=231-249|rup=004-01,6.7500000,191097980.2890000
smlt=00|ses=0009|src=231-214|rup=001-01,5.2500000,186560503.0580000
smlt=00|ses=0003|src=232-106|rup=002-01,5.7500000,185435422.5320000
smlt=00|ses=0005|src=231-81|rup=001-01,5.2500000,185345787.7260000
smlt=00|ses=0009|src=230-168|rup=002-01,5.7500000,185049736.1290000
smlt=00|ses=0001|src=230-164|rup=003-01,6.2500000,184661724.7750000
smlt=00|ses=0005|src=229-123|rup=001-01,5.2500000,184508201.9580000
smlt=00|ses=0008|src=229-0|rup=001-01,5.2500000,183286164.4760000
smlt=00|ses=0007|src=229-23|rup=002-01,5.7500000,182889334.2370000
smlt=00|ses=0001|src=232-121|rup=001-01,5.2500000,181716839.3530000
smlt=00|ses=0006|src=234-98|rup=001-01,5.2500000,181649998.0530000
smlt=00|ses=0005|src=231-220|rup=002-01,5.7500000,179429492.4920000
smlt=00|ses=0010|src=229-172|rup=003-01,6.2500000,178066104.9170000
smlt=00|ses=0001|src=232-101|rup=002-01,5.7500000,177134027.2180000
smlt=00|ses=0008|src=229-124|rup=001-01,5.2500000,175296611.7540000
smlt=00|ses=0010|src=229-81|rup=001-01,5.2500000,174568792.2010000
smlt=00|ses=0004|src=234-133|rup=001-01,5.2500000,174021985.7480000
smlt=00|ses=0001|src=229-106|rup=002-01,5.7500000,173291709.3880000
smlt=00|ses=0003|src=234-43|rup=004-01,6.7500000,173278635.2720000
smlt=00|ses=0004|src=231-196|rup=001-01,5.2500000,172012618.1860000
