Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0003|src=231-45|rup=002-01,5.7500000,378445702.3610000
smlt=00|ses=0004|src=231-81|rup=003-01,6.2500000,368221509.1720000
smlt=00|ses=0010|src=229-17|rup=001-01,5.2500000,366328764.1810000
smlt=00|ses=0005|src=231-81|rup=003-01,6.2500000,363570772.2310000
smlt=00|ses=0003|src=230-164|rup=002-01,5.7500000,361778601.5510000
smlt=00|ses=0010|src=229-30|rup=001-01,5.2500000,359117398.7510000
smlt=00|ses=0006|src=230-315|rup=002-01,5.7500000,347650960.7890000
smlt=00|ses=0009|src=231-119|rup=002-01,5.7500000,343356376.3390000
smlt=00|ses=0004|src=229-148|rup=005-01,7.2500000,336623563.1130000
smlt=00|ses=0003|src=232-76|rup=003-01,6.2500000,336319036.2070000
smlt=00|ses=0009|src=231-56|rup=003-01,6.2500000,334785535.7560000
smlt=00|ses=0003|src=232-107|rup=002-01,5.7500000,331575413.5210000
smlt=00|ses=0007|src=229-24|rup=001-02,5.2500000,331223927.3980000
smlt=00|ses=0008|src=231-5|rup=001-01,5.2500000,324617364.4680000
smlt=00|ses=0004|src=229-24|rup=001-01,5.2500000,324592124.1020000
smlt=00|ses=0006|src=230-254|rup=001-01,5.2500000,320477546.8000000
smlt=00|ses=0010|src=231-198|rup=003-01,6.2500000,320102402.9190000
smlt=00|ses=0008|src=231-249|rup=004-01,6.7500000,319326964.4010000
smlt=00|ses=0004|src=231-8|rup=003-01,6.2500000,317673784.3300000
smlt=00|ses=0002|src=234-102|rup=002-01,5.7500000,316689632.7270000
smlt=00|ses=0010|src=231-100|rup=001-01,5.2500000,316560925.8430000
smlt=00|ses=0007|src=229-23|rup=002-01,5.7500000,311047015.7360000
smlt=00|ses=0001|src=230-164|rup=003-01,6.2500000,310068974.5080000
smlt=00|ses=0009|src=230-168|rup=002-01,5.7500000,310050124.4510000
smlt=00|ses=0008|src=229-0|rup=001-01,5.2500000,306587373.0400000
smlt=00|ses=0005|src=231-81|rup=001-01,5.2500000,305027104.6540000
smlt=00|ses=0001|src=232-121|rup=001-01,5.2500000,304213837.3580000
smlt=00|ses=0005|src=229-123|rup=001-01,5.2500000,304036175.1160000
smlt=00|ses=0009|src=231-214|rup=001-01,5.2500000,303926337.0360000
smlt=00|ses=0003|src=232-106|rup=002-01,5.7500000,302766894.4280000
smlt=00|ses=0010|src=229-172|rup=003-01,6.2500000,300586220.3820000
smlt=00|ses=0001|src=232-101|rup=002-01,5.7500000,298669033.4340000
smlt=00|ses=0005|src=231-220|rup=002-01,5.7500000,294958638.2120000
smlt=00|ses=0010|src=229-81|rup=001-01,5.2500000,290531910.5810000
smlt=00|ses=0006|src=234-98|rup=001-01,5.2500000,285114814.1530000
smlt=00|ses=0007|src=232-102|rup=002-01,5.7500000,283146826.9650000
smlt=00|ses=0004|src=231-196|rup=001-01,5.2500000,283086929.9540000
